Date,Time,Easting,Northing
2024-09-19,22:23:41.816,472691.7265,6430852.1229
2024-09-19,22:23:43.657,472695.8188,6430851.7640
2024-09-19,22:23:45.496,472699.3571,6430851.6401
2024-09-19,22:23:49.169,472706.8002,6430851.6810
2024-09-19,22:23:51.010,472710.7904,6430852.4286
2024-09-19,22:23:52.842,472714.8550,6430851.1547
2024-09-19,22:23:54.691,472718.9971,6430850.8993
2024-09-19,22:23:56.513,472723.0483,6430851.0972
2024-09-19,22:23:58.383,472727.2104,6430851.0007
2024-09-19,22:24:00.231,472731.2772,6430850.7052
2024-09-19,22:24:02.081,472735.5141,6430850.5773
2024-09-19,22:24:03.915,472739.5235,6430850.4819
2024-09-19,22:24:05.749,472743.6370,6430850.4294
2024-09-19,22:24:07.595,472747.7402,6430850.1921
2024-09-19,22:24:09.433,472751.8434,6430850.5499
2024-09-19,22:24:11.259,472755.9072,6430849.6693
2024-09-19,22:24:13.102,472760.0119,6430849.8310
2024-09-19,22:24:14.945,472764.1312,6430849.7331
2024-09-19,22:24:16.782,472768.2370,6430849.6012
2024-09-19,22:24:18.608,472772.3679,6430849.4477
2024-09-19,22:24:20.459,472841.5877,6430852.3062
2024-09-19,22:24:24.123,472784.5874,6430848.7453
2024-09-19,22:24:25.992,472788.7840,6430849.0063
2024-09-19,22:24:29.664,472796.9737,6430848.7168
2024-09-19,22:24:31.517,472801.1098,6430848.3623
2024-09-19,22:24:33.352,472805.2301,6430848.4153
2024-09-19,22:24:35.186,472809.2770,6430848.0703
2024-09-19,22:24:37.033,472878.3052,6430851.3899
